INFO - Client socket is running on: ('0.0.0.0', 0)
INFO - Server Address: ('10.0.0.1', 6555)
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
WARNING - Timeout waiting for data
