delay,md5_hash_1,md5_hash_2,ttc1,ttc2,jfi
0,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,24.656314849853516,16.358742475509644,0.9606816792616852
0,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,22.827836513519287,15.4115309715271,0.9637491788430522
0,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,24.819148778915405,15.814055919647217,0.9531843413017738
0,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,22.292340993881226,15.973616123199463,0.9734569704943297
0,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,17.790908813476562,19.41434097290039,0.9980996493509251
20,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.40822744369507,35.98724007606506,0.9393896489629396
20,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.009925603866577,35.27051067352295,0.9396697633266698
20,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,19.593507289886475,25.287895679473877,0.9841574205712597
20,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,17.618088006973267,34.884461402893066,0.9024018776004495
20,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.539243459701538,34.74248170852661,0.947837317029059
40,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,17.757519006729126,40.23589825630188,0.8693871764814468
40,08cc2285c2bd02866d1bc5757e9bc6b4,cf1e2e6056138762c10831f3c71215b1,18.118983268737793,40.23478555679321,0.8744030127993604
40,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,24.895477771759033,58.016926288604736,0.8623808880263829
40,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.344432830810547,40.03912806510925,0.9151190523852174
40,f83ef32f41dc7eac903a7d9a3b82f184,cf1e2e6056138762c10831f3c71215b1,17.84565806388855,40.0746705532074,0.8716179076002312
60,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.767168045043945,63.056819438934326,0.8084442687909803
60,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,17.91081714630127,55.549091815948486,0.7920680834523524
60,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.111334323883057,63.49907064437866,0.7993755861099286
60,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,17.967628002166748,77.21608686447144,0.7207405992680135
60,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.140641689300537,55.820192098617554,0.8312192277701105
80,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,19.07999277114868,71.14883160591125,0.7501785045771071
80,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,23.92550492286682,95.96042728424072,0.734734769906799
80,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.066962957382202,71.14858722686768,0.7722305526675849
80,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.00433349609375,99.72810173034668,0.7016700928271645
80,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,19.031575441360474,71.05736827850342,0.7499068721274833
100,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,22.848304748535156,115.3254120349884,0.6906374606350404
100,cf1e2e6056138762c10831f3c71215b1,24dae221073c1501e6a86962b464827e,17.728607416152954,86.54551148414612,0.6965975193326205
100,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.301740646362305,86.58294916152954,0.7319850824248006
100,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,22.0823872089386,99.75295543670654,0.711029264884455
100,cf1e2e6056138762c10831f3c71215b1,cf1e2e6056138762c10831f3c71215b1,21.617214918136597,86.59026503562927,0.7350029558473987
